19/03/10 11:39
プロジェクトの翻訳状況

            	  分節数	   単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	17315	115260	    686279	    769539	  117	
未翻訳：        	13993	 79374	    481165	    540909	  117	
繰り返しを除いた：   	12148	 98950	    585602	    657703	  117	
繰り返しを除いた未翻訳：	10248	 68271	    412864	    464090	  117	


ファイルごとの翻訳状況：

ファイル名                                           	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
Mojo-UserAgent-Proxy.txt                        	     39	    29	         28	            25	    216	   160	        188	           152	          1373	         1019	              1183	                  965	          1504	         1123	              1302	                 1065	
Mojo-UserAgent-Server.txt                       	     41	    28	         27	            22	    240	   118	        189	           104	          1459	          748	              1162	                  669	          1599	          814	              1274	                  727	
Mojo-UserAgent-Transactor.txt                   	    175	   153	        142	           129	   1192	   972	       1109	           919	          7374	         6104	              6935	                 5839	          8437	         7041	              7943	                 6735	
Mojo-UserAgent.txt                              	    504	   461	        295	           260	   3207	  2405	       2430	          1693	         20174	        15573	             15270	                11053	         22572	        17441	             17045	                12337	
Mojo-Util.txt                                   	    241	   208	        189	           165	   8086	  7740	       7952	          7629	         42656	        40702	             41780	                39980	         45848	        43677	             44896	                42888	
Mojo-WebSocket.txt                              	     67	    57	         52	            49	    378	   317	        330	           289	          2248	         1840	              1946	                 1674	          2527	         2087	              2203	                 1907	
Mojo.txt                                        	     40	    24	         18	             9	    212	   105	        142	            55	          1254	          640	               801	                  323	          1372	          692	               891	                  355	
Mojolicious-Command-Author-cpanify.txt          	     32	    21	         22	            18	    199	   119	        173	           113	          1246	          727	              1072	                  689	          1414	          853	              1229	                  812	
Mojolicious-Command-Author-generate-app.txt     	     80	    68	         57	            54	    459	   369	        353	           299	          2989	         2378	              2417	                 2033	          3321	         2664	              2674	                 2262	
Mojolicious-Command-Author-generate-lite_app.txt	     41	    28	         13	            10	    244	   154	        107	            56	          1609	         1000	               818	                  447	          1784	         1130	               882	                  487	
Mojolicious-Command-Author-generate-makefile.txt	     37	    25	         17	            14	    210	   124	        104	            54	          1405	          819	               823	                  464	          1556	          928	               896	                  513	
Mojolicious-Command-Author-generate-plugin.txt  	     71	    54	         42	            36	    351	   223	        215	           134	          2400	         1548	              1597	                 1048	          2682	         1758	              1782	                 1184	
Mojolicious-Command-Author-generate.txt         	     37	    25	         21	            17	    222	   129	        135	            77	          1518	          887	              1033	                  621	          1674	          994	              1128	                  685	
Mojolicious-Command-Author-inflate.txt          	     34	    23	         16	            13	    228	   135	        131	            73	          1393	          805	               861	                  492	          1571	          930	               970	                  566	
Mojolicious-Command-cgi.txt                     	     35	    24	         12	             9	    220	   138	         81	            34	          1303	          785	               534	                  235	          1492	          931	               605	                  281	
Mojolicious-Command-daemon.txt                  	     54	    43	         35	            32	    326	   244	        224	           177	          2019	         1489	              1467	                 1156	          2401	         1828	              1776	                 1440	
Mojolicious-Command-eval.txt                    	     40	    29	         17	            14	    274	   197	        135	            93	          1595	         1100	               826	                  550	          1837	         1300	               950	                  650	
Mojolicious-Command-get.txt                     	     73	    62	         47	            44	    466	   389	        319	           277	          2779	         2301	              1947	                 1688	          3368	         2849	              2360	                 2078	
Mojolicious-Command-prefork.txt                 	     64	    53	         25	            22	    404	   322	        186	           139	          2506	         1972	              1252	                  937	          3022	         2445	              1454	                 1114	
